"sku","_store","_attribute_set","_type","_category","_root_category","_product_websites","author","book_year","color","condition","cost","country_of_manufacture","created_at","custom_design","custom_design_from","custom_design_to","custom_layout_update","description","edition","format","gallery","gift_message_available","has_options","image","image_label","isbn_number","is_used","manufacturer","media_gallery","meta_description","meta_keyword","meta_title","minimal_price","msrp","msrp_display_actual_price_type","msrp_enabled","name","news_from_date","news_to_date","options_container","page_layout","price","publisher","rental_return_date","rent_price","required_options","searchindex_weight","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","updated_at","url_key","url_path","visibility","weight","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_group_price_website","_group_price_customer_group","_group_price_price","_media_attribute_id","_media_image","_media_lable","_media_position","_media_is_disabled"
"","","","","Victoria University/BLB1114 - Legal Research Methods","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780195578454","","Default","simple","Australian Catholic University","Default Category","base","Philip Clarke","2012","","","","Australia","2015-08-16 7:29","","","","","","2nd","Paperback","","","0","/9/7/9780195578454.jpg","","9780195578454","","","","","","","","151.95","Use config","Use config","""""""Contract Law: Commentaries, Cases and Perspectives""""""","","","Block after Info Column","","129.16","OUP Australia and New Zealand","2016-7-10 0:00","83.57","0","","","/9/7/9780195578454.jpg","","","","","1","2","/9/7/9780195578454.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/LAWS105 - Contract Law","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780409330229","","Default","simple","Australian Catholic University","Default Category","base","Nicholas Seddon","2012","","","","Australia","2015-08-16 7:29","","","","","","10th","Paperback","","","0","/9/7/9780409330229.jpg","","9780409330229","","","","","","","","169.00","Use config","Use config","Cheshire and Fifoot's Law of Contract","","","Block after Info Column","","135.00","Butterworths","2016-7-10 0:00","84.50","0","","","/9/7/9780409330229.jpg","","","","","1","2","/9/7/9780409330229.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/LAWS105 - Contract Law","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780409333961","","Default","simple","Australian Catholic University","Default Category","base","Thalia Anthony","2013","","","","Australia","2015-08-16 7:29","","","","","","12th","Paperback","","","0","/9/7/9780409333961.jpg","","9780409333961","","","","","","","","159.00","Use config","Use config","Waller and Williams Criminal Law: Text and Cases","","","Block after Info Column","","125.00","Butterworths","2016-7-10 0:00","60.00","0","","","/9/7/9780409333961.jpg","","","","","1","2","/9/7/9780409333961.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/LAWS106 - Criminal Law and Procedure","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780198268598","","Default","simple","Australian Catholic University","Default Category","base","Konrad Zweigert","1998","","","","Australia","2015-08-16 7:29","","","","","","3 Rev ed","Paperback","","","0","/9/7/9780198268598.jpg","","9780198268598","","","","","","","","96.95","Use config","Use config","An Introduction to Comparative Law","","","Block after Info Column","","82.41","Clarendon Press","2016-7-10 0:00","","0","","","/9/7/9780198268598.jpg","","","","","1","2","/9/7/9780198268598.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/LAWS202 - Comparative Legal Systems","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780521118576","","Default","simple","Australian Catholic University","Default Category","base","James Gordley","2009","","","","Australia","2015-08-16 7:29","","","","","","2009","Paperback","","","0","/9/7/9780521118576.jpg","","9780521118576","","","","","","","","86.95","Use config","Use config","""""""An Introduction to the Comparative Study of Private Law: Readings, Cases, Materials""""""","","","Block after Info Column","","72.17","Cambridge University Press","2016-7-10 0:00","","0","","","/9/7/9780521118576.jpg","","","","","1","2","/9/7/9780521118576.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/LAWS202 - Comparative Legal Systems","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780455227900","","Default","simple","Australian Catholic University","Default Category","base","Adrian J. Bradbrook","2011","","","","Australia","2015-08-16 7:29","","","","","","4th","Paperback","","","0","/9/7/9780455227900.jpg","","9780455227900","","","","","","","","158.00","Use config","Use config","Australian Property Law: Cases and Materials","","","Block after Info Column","","137.46","Law Book Co of Australasia","2016-7-10 0:00","","0","","","/9/7/9780455227900.jpg","","","","","1","2","/9/7/9780455227900.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/LAWS205 - Property Law","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780455230542","","Default","simple","Australian Catholic University","Default Category","base","Robert Chambers","2013","","","","Australia","2015-08-16 7:29","","","","","","3rd","Paperback","","","0","/9/7/9780455230542.jpg","","9780455230542","","","","","","","","127.00","Use config","Use config","An Introduction to Property Law in Australia","","","Block after Info Column","","110.49","Law Book Co of Australasia","2016-7-10 0:00","","0","","","/9/7/9780455230542.jpg","","","","","1","2","/9/7/9780455230542.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/LAWS205 - Property Law","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780195572391","","Default","simple","Australian Catholic University","Default Category","base","Kit Barker","2011","","","","Australia","2015-08-16 7:29","","","","","","5th edition","Paperback","","","0","/9/7/9780195572391.jpg","","9780195572391","","","","","","","","184.95","Use config","Use config","The Law of Torts in Australia","","","Block after Info Column","","157.21","OUP Australia and New Zealand","2016-7-10 0:00","101.72","0","","","/9/7/9780195572391.jpg","","","","","1","2","/9/7/9780195572391.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/LAWS206 - Torts Law","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/LAWS305 - Legal Ethis and Professional Responsibility","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781285184487","","Default","simple","Australian Catholic University","Default Category","base","Charles W. L. Hill","2015","","","","Australia","2015-08-16 7:29","","","","","","11 Rev ed","Hardback","","","0","/9/7/9781285184487.jpg","","9781285184487","","","","","","","","182.95","Use config","Use config","Strategic Management: Theory & Cases: An Integrated Approach","","","Block after Info Column","","182.95","South-Western College Publishing","2016-7-10 0:00","91.48","0","","","/9/7/9781285184487.jpg","","","","","1","2","/9/7/9781285184487.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/MGMT304 - Strategic Management","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781133435228","","Default","simple","Australian Catholic University","Default Category","base","Andrew J DuBrin ","2012","","","","Australia","2015-08-16 7:29","","","","","","7th","Paperback / softback","","","0","/9/7/9781133435228.jpg","","9781133435228","","","","","","","","152.95","Use config","Use config","""""""Leadership: Research Findings, Practice, and Skills""""""","","","Block after Info Column","","128.48","Wadsworth Publishing Co Inc","2016-7-10 0:00","","0","","","/9/7/9781133435228.jpg","","","","","1","2","/9/7/9781133435228.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/MGMT307 - Cross Cultural Managment","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780170188425","","Default","simple","Australian Catholic University","Default Category","base","Vanessa Brotto","2011","","","","Australia","2015-08-16 7:29","","","","","","1st","Mixed media product","","","0","/9/7/9780170188425.jpg","","9780170188425","","","","","","","","59.95","Use config","Use config","Clinical Dosage Calculations: For Australia and New Zealand","","","Block after Info Column","","45.00","Cengage Learning Australia","2016-7-10 0:00","","0","","","/9/7/9780170188425.jpg","","","","","1","2","/9/7/9780170188425.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/MIDW127 - Beginning The Journey","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780702031465","","Default","simple","Australian Catholic University","Default Category","base","""Ruth Johnson, BA""","2010","","","","Australia","2015-08-16 7:29","","","","","","3 Rev ed","Paperback","","","0","/9/7/9780702031465.jpg","","9780702031465","","","","","","","","61.00","Use config","Use config","Skills for Midwifery Practice","","","Block after Info Column","","54.29","Churchill Livingstone","2016-7-10 0:00","","0","","","/9/7/9780702031465.jpg","","","","","1","2","/9/7/9780702031465.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/MIDW127 - Beginning The Journey","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780443100024","","Default","simple","Australian Catholic University","Default Category","base","Lesley Ann Page","2006","","","","Australia","2015-08-16 7:29","","","","","","2nd edition","Paperback","","","0","/9/7/9780443100024.jpg","","9780443100024","","","","","","","","80.00","Use config","Use config","The New Midwifery: Science and Sensitivity in Practice","","","Block after Info Column","","71.20","Churchill Livingstone","2016-7-10 0:00","","0","","","/9/7/9780443100024.jpg","","","","","1","2","/9/7/9780443100024.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/MIDW127 - Beginning The Journey","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780702051456","","Default","simple","Australian Catholic University","Default Category","base","Jayne E. Marshall","2014","","","","Australia","2015-08-16 7:29","","","","","","16 Rev ed","Paperback","","","0","/9/7/9780702051456.jpg","","9780702051456","","","","","","","","73.75","Use config","Use config","Myles Textbook for Midwives","","","Block after Info Column","","65.64","Churchill Livingstone","2016-7-10 0:00","40.56","0","","","/9/7/9780702051456.jpg","","","","","1","2","/9/7/9780702051456.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/MIDW127 - Beginning The Journey","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780729541749","","Default","simple","Australian Catholic University","Default Category","base","""Sally Pairman, DMid, MA, BA, RM, RGON""","2014","","","","Australia","2015-08-16 7:29","","","","","","3 Rev ed","Hardback","","","0","/9/7/9780729541749.jpg","","9780729541749","","","","","","","","139.95","Use config","Use config","Midwifery: Preparation for Practice","","","Block after Info Column","","124.56","Churchill Livingstone","2016-7-10 0:00","","0","","","/9/7/9780729541749.jpg","","","","","1","2","/9/7/9780729541749.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/MIDW127 - Beginning The Journey","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781442561533","","Default","simple","Australian Catholic University","Default Category","base","Leon G. Schiffman","2013","","","","Australia","2015-08-16 7:29","","","","","","6th","Paperback","","","0","/9/7/9781442561533.jpg","","9781442561533","","","","","","","","151.95","Use config","Use config","Consumer Behaviour","","","Block after Info Column","","135.19","Pearson Education Australia","2016-7-10 0:00","60.00","0","","","/9/7/9781442561533.jpg","","","","","1","2","/9/7/9781442561533.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/MKTG201 - Consumer Behaviour","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Deakin University","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Deakin University/MMK266 - Consumer Behaviour","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780273752516","","Default","simple","Australian Catholic University","Default Category","base","Philip Kotler","2011","","","","Australia","2015-08-16 7:29","","","","","","5th","Paperback","","","0","/9/7/9780273752516.jpg","","9780273752516","","","","","","","","120.95","Use config","Use config","Framework for Marketing Management","","","Block after Info Column","","111.27","Pearson Education Limited","2016-7-10 0:00","66.52","0","","","/9/7/9780273752516.jpg","","","","","1","2","/9/7/9780273752516.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/MKTG600 - Marketing Masters","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781920994204","","Default","simple","Australian Catholic University","Default Category","base","Jennifer Evans","2011","","","","Australia","2015-08-16 7:29","","","","","","Australian and New Zealand ed","Paperback","","","0","/9/7/9781920994204.jpg","","9781920994204","","","","","","","","110.00","Use config","Use config","Videbeck's Mental Health Nursing","","","Block after Info Column","","95.70","Lippincott Williams & Wilkins","2016-7-10 0:00","","0","","","/9/7/9781920994204.jpg","","","","","1","2","/9/7/9781920994204.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/NRSG210 - Mental Health Nursing","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781405124553","","Default","simple","Australian Catholic University","Default Category","base","Anthony Harrison & Chris Hart","2006","","","","Australia","2015-08-16 7:29","","","","","","","Paperback","","","0","/9/7/9781405124553.jpg","","9781405124553","","","","","","","","102.95","Use config","Use config","Understanding Mental Health in Nursing; Applying Mental Health Skills in the General Hospital","","","Block after Info Column","","92.66","Blackwell Publishing","2016-7-10 0:00","","0","","","/9/7/9781405124553.jpg","","","","","1","2","/9/7/9781405124553.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/NRSG210 - Mental Health Nursing","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781118644805","","Default","simple","Australian Catholic University","Default Category","base","Catherine Hungerford","2014","","","","Australia","2015-08-16 7:29","","","","","","2Ed","Paperback","","","0","/9/7/9781118644805.jpg","","9781118644805","","","","","","","","109.95","Use config","Use config","Mental Health Care:an Introduction for Health Professionals 2E","","","Block after Info Column","","98.96","John Wiley & Sons Australia Ltd","2016-7-10 0:00","58.27","0","","","/9/7/9781118644805.jpg","","","","","1","2","/9/7/9781118644805.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/NRSG262 - CLINICAL INTEGRATION: MENTAL HEALTH","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Melbourne","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Melbourne/NURS90066 - Foundations of Nursing","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781451110807","","Default","simple","Australian Catholic University","Default Category","base","Barbara A. Boyt Schell","2013","","","","Australia","2015-08-16 7:29","","","","","","12th","Hardback","","","0","/9/7/9781451110807.jpg","","9781451110807","","","","","","","","105.00","Use config","Use config","Willard and Spackman's Occupational Therapy","","","Block after Info Column","","91.35","Lippincott Williams and Wilkins","2016-7-10 0:00","52.50","0","","","/9/7/9781451110807.jpg","","","","","1","2","/9/7/9781451110807.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/OTHY100 - Foundations of Occupational Therapy","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781556425301","","Default","simple","Australian Catholic University","Default Category","base","Charles H. Christiansen","2005","","","","Australia","2015-08-16 7:29","","","","","","3rd","Paperback","","","0","/9/7/9781556425301.jpg","","9781556425301","","","","","","","","","Use config","Use config","""""""Occupational Therapy: Performance, Participation, and Well-Being""""""","","","Block after Info Column","","105.95","SLACK  Incorporated","2016-7-10 0:00","","0","","","/9/7/9781556425301.jpg","","","","","1","2","/9/7/9781556425301.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/OTHY100 - Foundations of Occupational Therapy","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/OTHY101 - Health and Occupation","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781895437898","","Default","simple","Australian Catholic University","Default Category","base","Canadian Association Occupational Therapists","2013","","","","Australia","2015-08-16 7:29","","","","","","2nd","Paperback","","","0","/9/7/9781895437898.jpg","","9781895437898","","","","","","","","223.95","Use config","Use config","""""""Enabling Occupation II : Advancing Occupational Therapy Vision for Health, Well Being, and Justice T…""""""","","","Block after Info Column","","223.95","Canadian Ass. Occupational The","2016-7-10 0:00","123.17","0","","","/9/7/9781895437898.jpg","","","","","1","2","/9/7/9781895437898.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/OTHY100 - Foundations of Occupational Therapy","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/OTHY101 - Health and Occupation","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780781769969","","Default","simple","Australian Catholic University","Default Category","base","Gary Kielhofner","2007","","","","Australia","2015-08-16 7:29","","","","","","4 Rev ed","Paperback","","","0","/9/7/9780781769969.jpg","","9780781769969","","","","","","","","83.95","Use config","Use config","Model of Human Occupation: Theory and Application","","","Block after Info Column","","73.04","Lippincott Williams and Wilkins","2016-7-10 0:00","","0","","","/9/7/9780781769969.jpg","","","","","1","2","/9/7/9780781769969.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/OTHY101 - Health and Occupation","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781455706433","","Default","simple","Australian Catholic University","Default Category","base","Laurie Lundy-Ekman","2012","","","","Australia","2015-08-16 7:29","","","","","","4th","Paperback","","","0","/9/7/9781455706433.jpg","","9781455706433","","","","","","","","89.95","Use config","Use config","Neuroscience: Fundamentals for Rehabilitation","","","Block after Info Column","","80.06","Saunders","2016-7-10 0:00","49.47","0","","","/9/7/9781455706433.jpg","","","","","1","2","/9/7/9781455706433.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/OTHY200 - Neuroscience,Neurodevelopment","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/PHTY201 - Physiotherapy Pathophysiology 2","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/SPHY200 - Neuroscience for Speech Pathology","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781416049784","","Default","simple","Australian Catholic University","Default Category","base","Donna J. Cech","2011","","","","Australia","2015-08-16 7:29","","","","","","3rd","Paperback","","","0","/9/7/9781416049784.jpg","","9781416049784","","","","","","","","72.95","Use config","Use config","Functional Movement Development Across the Life Span","","","Block after Info Column","","64.93","Saunders","2016-7-10 0:00","","0","","","/9/7/9781416049784.jpg","","","","","1","2","/9/7/9781416049784.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/OTHY200 - Neuroscience,Neurodevelopment","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780195520149","","Default","simple","Australian Catholic University","Default Category","base","John Germov","2013","","","","Australia","2015-08-16 7:29","","","","","","5th edition","Paperback","","","0","/9/7/9780195520149.jpg","","9780195520149","","","","","","","","107.95","Use config","Use config","Second Opinion: An Introduction to Health Sociology 5th Edition","","","Block after Info Column","","91.76","OUP Australia and New Zealand","2016-7-10 0:00","59.37","0","","","/9/7/9780195520149.jpg","","","","","1","2","/9/7/9780195520149.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/OTHY201 - Contextual Determinants of Health, Illness and Disability","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
